Replicate_Num,Training_Round,Simulation_Num,Mean_Game_Cooperation
1,2386560,35,0.9285714030265808
1,2386560,36,0.9375
1,2386560,37,0.2633928656578064
1,2386560,38,0.5758928656578064
1,2386560,39,0.6383928656578064
1,2386560,40,0.2098214328289032
1,2386560,41,0.7410714030265808
1,2386560,42,0.8928571343421936
1,2386560,43,0.8526785969734192
1,2386560,44,0.7276785969734192
1,2386560,45,0.8348214030265808
1,2386560,46,0.9732142686843872
1,2386560,47,0.6964285969734192
1,2386560,48,0.9910714030265808
1,2386560,49,0.8839285969734192
1,2386560,50,0.3883928656578064
1,2386560,51,0.8660714030265808
1,2386560,52,0.34375
1,2386560,53,0.8660714030265808
1,2386560,54,0.2633928656578064
1,2386560,55,0.8928571343421936
1,2386560,56,0.9910714030265808
1,2386560,57,0.8571428656578064
1,2386560,58,0.3125
1,2386560,59,0.8705357313156128
1,2386560,60,0.8928571343421936
1,2386560,61,1.0
1,2386560,62,0.2544642984867096
1,2386560,63,0.9151785969734192
1,2386560,64,0.5669642686843872
1,2386560,65,0.6830357313156128
1,2386560,66,0.84375
1,2386560,67,0.9017857313156128
1,2386560,68,0.7410714030265808
1,2386560,69,0.9553571343421936
1,2386560,70,0.9241071343421936
1,2386560,71,0.8705357313156128
1,2386560,72,0.8839285969734192
1,2386560,73,0.8526785969734192
1,2386560,74,0.7723214030265808
1,2386560,75,0.6473214030265808
1,2386560,76,0.6830357313156128
1,2386560,77,0.9508928656578064
1,2386560,78,0.8794642686843872
1,2386560,79,0.9598214030265808
1,2386560,80,0.9330357313156128
1,2386560,81,0.7723214030265808
1,2386560,82,0.84375
1,2386560,83,0.8616071343421936
1,2386560,84,0.9285714030265808
1,2386560,85,0.78125
1,2386560,86,0.3883928656578064
1,2386560,87,0.9553571343421936
1,2386560,88,0.7053571343421936
1,2386560,89,0.6741071343421936
1,2386560,90,0.7633928656578064
1,2386560,91,0.6116071343421936
1,2386560,92,0.8214285969734192
1,2386560,93,0.3482142984867096
1,2386560,94,0.9375
1,2386560,95,0.8303571343421936
1,2386560,96,0.4553571343421936
1,2386560,97,0.90625
1,2386560,98,0.5223214030265808
1,2386560,99,0.7633928656578064
1,3728000,0,0.8526785969734192
1,3728000,1,0.6964285969734192
1,3728000,2,0.9598214030265808
1,3728000,3,0.8214285969734192
1,3728000,4,0.7321428656578064
1,3728000,5,0.9464285969734192
1,3728000,6,0.8928571343421936
1,3728000,7,0.6785714030265808
1,3728000,8,0.875
1,3728000,9,0.3973214328289032
1,3728000,10,0.9196428656578064
1,3728000,11,0.4151785671710968
1,3728000,12,0.8616071343421936
1,3728000,13,0.8035714030265808
1,3728000,14,0.5089285969734192
1,3728000,15,0.9330357313156128
1,3728000,16,0.875
1,3728000,17,0.2901785671710968
1,3728000,18,0.8839285969734192
1,3728000,19,0.9017857313156128
1,3728000,20,0.8526785969734192
1,3728000,21,0.65625
1,3728000,22,0.9375
1,3728000,23,0.8303571343421936
1,3728000,24,0.7901785969734192
